/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 13 retained 1 second 2001 endpoints 0 hits []
first 221 retained 2 second 2174 endpoints 1 hits [['K0']]
first 333 retained 3 second 4128 endpoints 1 hits [['K0']]
first 369 retained 4 second 6129 endpoints 1 hits [['K0']]
first 497 retained 5 second 8130 endpoints 1 hits [['K0']]
first 557 retained 6 second 10131 endpoints 1 hits [['K0']]
first 573 retained 7 second 12132 endpoints 1 hits [['K0']]
first 613 retained 8 second 14133 endpoints 1 hits [['K0']]
first 681 retained 9 second 16134 endpoints 1 hits [['K0']]
first 705 retained 10 second 18135 endpoints 1 hits [['K0']]
first 925 retained 11 second 20136 endpoints 1 hits [['K0']]
first 1065 retained 12 second 22137 endpoints 1 hits [['K0']]
first 1069 retained 13 second 24138 endpoints 1 hits [['K0']]
first 1137 retained 14 second 26139 endpoints 1 hits [['K0']]
first 1217 retained 15 second 28140 endpoints 1 hits [['K0']]
first 1225 retained 16 second 30141 endpoints 1 hits [['K0']]
first 1257 retained 17 second 32142 endpoints 1 hits [['K0']]
first 1261 retained 18 second 34143 endpoints 1 hits [['K0']]
first 1289 retained 19 second 36144 endpoints 1 hits [['K0']]
first 1429 retained 20 second 38145 endpoints 1 hits [['K0']]
first 1457 retained 21 second 40146 endpoints 1 hits [['K0']]
first 1473 retained 22 second 42147 endpoints 1 hits [['K0']]
first 1541 retained 23 second 44148 endpoints 1 hits [['K0']]
first 1641 retained 24 second 46149 endpoints 1 hits [['K0']]
first 1693 retained 25 second 48150 endpoints 1 hits [['K0']]
first 1713 retained 26 second 50151 endpoints 1 hits [['K0']]
first 1729 retained 27 second 52152 endpoints 1 hits [['K0']]
first 1733 retained 28 second 54153 endpoints 1 hits [['K0']]
first 1753 retained 29 second 56154 endpoints 1 hits [['K0']]
first 1793 retained 30 second 58155 endpoints 1 hits [['K0']]
first 1821 retained 31 second 60156 endpoints 1 hits [['K0']]
first 2025 retained 32 second 62157 endpoints 1 hits [['K0']]
first 2041 retained 33 second 64158 endpoints 1 hits [['K0']]
first 2129 retained 34 second 66159 endpoints 1 hits [['K0']]
first 2153 retained 35 second 68160 endpoints 1 hits [['K0']]
first 2173 retained 36 second 70161 endpoints 1 hits [['K0']]
first 2257 retained 37 second 72162 endpoints 1 hits [['K0']]
first 2409 retained 38 second 74163 endpoints 1 hits [['K0']]
first 2413 retained 39 second 76164 endpoints 1 hits [['K0']]
first 2429 retained 40 second 78165 endpoints 1 hits [['K0']]
first 2481 retained 41 second 80166 endpoints 1 hits [['K0']]
first 2485 retained 42 second 82167 endpoints 1 hits [['K0']]
first 2489 retained 43 second 84168 endpoints 1 hits [['K0']]
first 2561 retained 44 second 86169 endpoints 1 hits [['K0']]
first 2573 retained 45 second 88170 endpoints 1 hits [['K0']]
first 2773 retained 46 second 90171 endpoints 1 hits [['K0']]
first 2925 retained 47 second 92172 endpoints 1 hits [['K0']]
first 2953 retained 48 second 94173 endpoints 1 hits [['K0']]
first 2961 retained 49 second 96174 endpoints 1 hits [['K0']]
first 3069 retained 50 second 98175 endpoints 1 hits [['K0']]
first 3077 retained 51 second 100176 endpoints 1 hits [['K0']]
first 3101 retained 52 second 102177 endpoints 1 hits [['K0']]
